,10/2022,9/2022,8/2022,7/2022,6/2022,5/2022,4/2022,3/2022,2/2022,1/2022,12/2021,11/2021,10/2021
欣興,5.957446809,-22.44224422,-4.416403785,2.264662236,-26.45090875,1.176301133,-14.45703959,-1.968836816,26.99800583,-13.41862936,1.314196008,20.00107648,43.93399442
微星,1.860465116,-6.52173913,6.20613225,3.96543447,-15.92670326,11.56340058,-6.915919189,-16.39918705,2.980658199,-5.920695274,-1.537638722,16.43185179,8.103332211
創意,-17.23259762,8.671586716,7.326732673,4.98960499,-11.9305698,33.41475926,-17.92080201,10.50182785,-3.280761154,-19.36760259,-0.510554906,-1.503555706,19.36135812
,,,,,,,,,,,,,
新建,1.6563147,-5.294117647,2.822580645,-3.689320388,-3.195488722,-4.144144144,-5.612244898,-0.84317032,0,-11.62444113,10.90909091,6.890459364,-4.713804714
大將,-15.26479751,-28.98230088,3.055175559,16.77316294,-37.58723829,33.31856447,127.979798,19.70979444,-2.591283863,-1.736111111,2.734839477,-0.355450237,0.476190476
光鋐,-5.172413793,-17.37891738,5.722891566,1.778050276,-17.95774648,2.527075812,-15.87852495,-0.646551724,-1.234567901,-8.206330598,0.589622642,11.53003069,1.558325913
穎漢,0,-1.960784314,-1.923076923,1.298701299,0.325732899,-0.647249191,-1.277955272,0.320512821,1.298701299,-4.049844237,-6.686046512,-2.217168846,-3.457738749
吉源,-3.987730061,-4.117647059,6.183635228,-0.559006211,0,-1.226993865,-8.013544018,4.914150385,6.15964802,-6.631455399,11.5913556,-2.178090967,-2.680798005
川飛,-3.872437358,-8.465387823,3.630077787,9.048067861,-8.297320657,-6.23987034,-12.17081851,26.29213483,3.009259259,-1.907356948,-0.631768953,13.11893823,7.460230389
卓越,-2.679528403,0.864864865,-2.012711864,1.943844492,2.049812652,0.198763251,-1.714781854,-0.818083961,0.519368102,-0.409482759,-0.107642626,0.606454408,-0.388349515
光隆,-1.869158879,-0.155520995,2.225755167,8.9366124,-4.435617345,-7.699358387,-2.152466368,-3.155761436,4.603270745,-1.843043995,-1.924198251,1.961950059,-0.561631688
毛寶,-6.271777003,-24.94769874,25.33595542,12.16911765,-21.77164222,-18.85647608,-9.978991597,44.28614732,-22.74004684,25.29342723,13.90374332,20.06420546,-4.703632887
必應,-0.328947368,-3.492063492,12.09964413,-0.706713781,-1.393728223,5.321100917,-5.54592721,-4.15282392,0.668896321,-10.21021021,5.379746835,18.79699248,0.377358491
6641 基士德-KY,-6.306306306,-4.14507772,-0.172413793,1.647388714,-0.174947516,-1.904925348,-1.869316268,4.560662088,-0.47318612,-0.331877729,4.39460248,5.360230548,-1.233396584
8467 波力-KY,-4.528301887,-16.40378549,-7.982583454,10.50521251,61.19441572,8.468872686,-4.422406861,1.165943601,2.586926287,-8.895083629,0.998208344,0.747808149,-2.904356535
6426 統新,-22.62068966,-16.76234214,47.87775891,3.22467578,-8.086340206,-5.725132878,-1.862891207,1.605087826,1.63127116,-13.7166379,5.831928049,4.248461764,18.81636205
2250 IKKA-KY,-12.56281407,-4.670658683,1.089588378,-1.946818613,-0.236854571,-2.65160249,-8.800336453,-5.813032284,-0.94173043,-8.220041415,8.956248774,-11.66377816,6.193061563
6796 晉弘,-19.67963387,-23.66812227,-6.910569106,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA
